,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,2,1.0,0.8165068561717841,,3,0.3333333333333333,1.584962500721156,False,254,7.550588945937783e-05,0.01,False
UID,,VARCHAR(32),WOS:A1945YA86200007,1.0,19,19,,,WOS:000203984800001,13243,0.00015101177891875566,13.692900283618076,False,28,0.33330816470351354,0.01,False
citation_related__citation_topics__subj-group__subject,,BOOLEAN,,0.0,0,1,,,,1,1.0,-0.0,False,1,2.516862981979261e-05,0.01,False
citation_related__citation_topics__subj-group__subject__@content-id,,VARCHAR(16),1,1.0,1,11,,,1,2242,0.147815362931642,8.324439395257555,False,16,0.056428068055975035,0.01,False
citation_related__citation_topics__subj-group__subject__@content-type,,VARCHAR(8),macro,1.0,4,5,,,macro,3,0.3333333333333333,1.584962500721156,False,7,7.550588945937783e-05,0.01,False
citation_related__citation_topics__subj-group__subject__#text,,TEXT,Clinical & Life Sciences,1.0,3,56,,,Clinical & Life Sciences,2223,0.147815362931642,8.309458701316203,False,84,0.055949864089398976,0.01,False
