,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,5,2.4133067302085895,1.6713974190768581,,6,0.17244621798609402,2.5804044234863737,False,254,2.022196982208037e-05,0.01,False
UID,,VARCHAR(32),WOS:000203024800008,1.0,19,19,,,WOS:000203024800008,51166,2.022196982208037e-05,15.639323562845593,False,28,0.17244621798609402,0.01,False
static_data__summary__titles__title__@type,,VARCHAR(32),source,1.0,4,13,,,source,6,0.17244621798609402,2.5804044234863737,False,19,2.022196982208037e-05,0.01,False
static_data__summary__titles__title__#text,,TEXT,AMERICAN ARCHIVIST,1.0,2,364,,,PRESSE MED,50112,0.021994762509816083,11.14174445019015,False,546,0.16889389195401525,0.01,False
