,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,2,0.00893743793445879,0.10418462669679326,,3,0.9920556107249255,0.071152822645286,False,254,0.0029791459781529296,0.01,False
UID,,VARCHAR(32),WOS:001018722200015,1.0,19,19,,,WOS:001003278500007,999,0.0029791459781529296,9.959209549434625,False,28,0.9920556107249255,0.01,False
static_data__item__book_desc__bk_binding,,VARCHAR(1),,1.0,0,1,,,,4,0.9662363455809335,0.2496065549587913,False,1,0.003972194637537239,0.01,False
static_data__item__book_desc__bk_ordering,,TEXT,,1.0,0,303,,,,2,0.9990069513406157,0.011338457237807277,False,454,0.0019860973187686196,0.01,False
static_data__item__book_desc__bk_prepay,,VARCHAR(1),,1.0,0,1,,,,3,0.9731876861966237,0.20165154002471186,False,1,0.0029791459781529296,0.01,False
static_data__item__book_desc__bk_publisher,,TEXT,,1.0,0,121,,,,13,0.9662363455809335,0.31739668654418396,False,181,0.012909632571996028,0.01,False
