,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,3,0.15553219022969914,0.41798053126402407,,4,0.8657392429634423,0.6555642167439246,False,254,0.00032351989647363315,0.01,False
UID,,VARCHAR(32),WOS:A1945YA86200007,1.0,19,19,,,WOS:000207213900004,10703,0.00032351989647363315,13.309224155249638,False,28,0.8656583629893239,0.01,True
citation_related__SDG__sdg_category,,VARCHAR(64),03 Good Health and Well-being,1.0,13,42,,,03 Good Health and Well-being,16,0.5770786153348431,2.468635654535482,False,63,0.0012940795858945326,0.01,False
