,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,5,0.33632958801498125,0.6684067828966459,,6,0.748314606741573,1.0871581401518198,False,254,0.0044943820224719105,0.01,False
UID,,VARCHAR(32),WOS:001018722200015,1.0,19,19,,,WOS:000909455900001,999,0.0044943820224719105,9.821621910838523,False,28,0.748314606741573,0.01,False
dynamic_data__ic_related__oases__oas__@type,,VARCHAR(32),,1.0,0,15,,,,7,0.40224719101123596,2.2464436446050287,False,22,0.0052434456928838954,0.01,False
