,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,BOOLEAN,0,1.0,0,1,0.11592920353982301,0.32028175474671416,,2,0.8840707964601769,0.5175451633857078,False,1,0.0017699115044247787,0.01,False
UID,,VARCHAR(32),WOS:001018722200015,1.0,19,19,,,WOS:001114170200001,999,0.0017699115044247787,9.910248650222906,False,28,0.8840707964601769,0.01,False
static_data__summary__doctypes__doctype,,VARCHAR(32),Article,1.0,4,18,,,Article,15,0.6522123893805309,1.9087317644817996,False,27,0.01327433628318584,0.01,False
