,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,9,3.443969396939694,2.72281019104305,,10,0.16449144914491448,3.2225761881711845,False,254,0.0022502250225022503,0.01,False
UID,,VARCHAR(32),WOS:001018722200015,1.0,19,19,,,WOS:001026952400006,731,0.0022502250225022503,9.26898560132897,False,28,0.16449144914491448,0.01,False
static_data__item__keywords_plus__keyword,,TEXT,FINITE-ELEMENT-ANALYSIS,1.0,2,47,,,MODEL,3118,0.0063006300630063005,11.198905984745593,False,70,0.7016201620162016,0.01,False
