,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,2,0.14225941422594143,0.4085154000176881,,3,0.8800557880055788,0.6123371047686605,False,254,0.0041841004184100415,0.01,False
UID,,VARCHAR(32),WOS:001018722200015,1.0,19,19,,,WOS:000948809800001,631,0.0041841004184100415,9.229095417440238,False,28,0.8800557880055788,0.01,False
dynamic_data__citation_related__SDG__sdg_category,,VARCHAR(64),03 Good Health and Well-being,1.0,13,42,,,03 Good Health and Well-being,16,0.48675034867503486,2.7825865018174465,False,63,0.022315202231520222,0.01,False
