,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,7,2.5055220883534135,1.7196777829491567,,8,0.16716867469879518,2.6110528731116363,False,254,0.0013386880856760374,0.01,False
UID,,VARCHAR(32),WOS:001018722200015,1.0,19,19,,,WOS:000980247600010,999,0.0013386880856760374,9.95990106805241,False,28,0.16716867469879518,0.01,False
static_data__summary__titles__title__#text,,TEXT,JOURNAL OF ORAL IMPLANTOLOGY,1.0,4,331,,,GASTROENTEROLOGY,4067,0.004016064257028112,11.66389956615452,False,496,0.6805555555555556,0.01,False
static_data__summary__titles__title__@translated,,VARCHAR(1),,1.0,0,1,,,,2,0.9973226238286479,0.02673554599486592,False,1,0.00033467202141900936,0.01,False
static_data__summary__titles__title__@type,,VARCHAR(32),source,1.0,4,13,,,source,9,0.16716867469879518,2.6333706104000334,False,19,0.0015060240963855422,0.01,False
