,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,68,14.801047120418849,19.22832885293767,,69,0.225130890052356,4.973492853797681,False,254,0.3612565445026178,0.01,False
UID,,VARCHAR(32),WOS:001052854603100,1.0,19,19,,,WOS:001004185500163,43,0.3612565445026178,3.822720860811044,False,28,0.225130890052356,0.01,False
static_data__summary__conferences__conference__sponsors__sponsor,,TEXT,Amer Diabet Assoc,1.0,3,71,,,IEEE,172,0.04712041884816754,7.308925097589967,False,106,0.900523560209424,0.01,False
