,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
static_data__summary__publishers__publisher__names__name__@seq_no,,TINYINT UNSIGNED,1,0.9953289293671579,1,1,,,1,2,0.9953289293671579,0.006723166864206623,False,254,3.908845717859516e-05,0.01,False
static_data__summary__publishers__publisher__names__name__@addr_no,,TINYINT UNSIGNED,1,0.9953289293671579,1,1,,,1,2,0.9953289293671579,0.006723166864206623,False,254,3.908845717859516e-05,0.01,False
static_data__summary__publishers__publisher__names__name__display_name,,TEXT,SOC AMER ARCHIVISTS,0.9953289293671579,3,59,,,MASSON EDITEUR,338,0.08015088144470937,6.853441093294377,False,88,0.006605949263182582,0.01,False
static_data__summary__publishers__publisher__names__name__full_name,,TEXT,SOC AMER ARCHIVISTS,0.9953289293671579,3,59,,,MASSON EDITEUR,338,0.08015088144470937,6.853441093294377,False,88,0.006605949263182582,0.01,False
static_data__summary__publishers__publisher__names__name__unified_name,,TEXT,Soc Amer Archivists,0.8029355431341125,4,59,,,Elsevier,235,0.1970644568658875,5.067417387476524,False,88,0.004592893718484931,0.01,False
static_data__fullrecord_metadata__languages__@count,,TINYINT UNSIGNED,1,1.0,1,2,,,1,2,0.9999804557714107,0.0003339244571487969,False,254,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__languages__language__@type,,VARCHAR(16),primary,0.9999804557714107,7,7,,,primary,2,0.9999804557714107,2.819608612391457e-05,False,10,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__languages__language__#text,,VARCHAR(16),English,0.9999804557714107,6,10,,,English,10,0.9860845092444201,0.13344291345923862,False,15,0.00019544228589297581,0.01,False
static_data__fullrecord_metadata__normalized_languages__@count,,TINYINT UNSIGNED,1,1.0,1,2,,,1,2,0.9999804557714107,0.0003339244571487969,False,254,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__normalized_languages__language__@type,,VARCHAR(16),primary,0.9999804557714107,7,7,,,primary,2,0.9999804557714107,2.819608612391457e-05,False,10,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__normalized_languages__language__#text,,VARCHAR(16),English,0.9999804557714107,6,10,,,English,10,0.9860845092444201,0.13344291345923862,False,15,0.00019544228589297581,0.01,False
