,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,2,0.09709618874773139,0.30824384316956954,,3,0.9065335753176044,0.47008016708975353,False,254,0.0027223230490018148,0.01,False
UID,,VARCHAR(32),WOS:001018722200015,1.0,19,19,,,WOS:000990199800838,999,0.0027223230490018148,9.916235595677644,False,28,0.9065335753176044,0.01,False
static_data__summary__EWUID__edition__@value,,VARCHAR(16),WOS.SCI,1.0,6,8,,,WOS.SCI,7,0.7931034482758621,1.081147999587218,False,12,0.006352087114337568,0.01,False
