,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,6,0.496496875591744,0.7505282473282299,,7,0.6362431357697406,1.351527932898686,False,254,0.0013255065328536262,0.01,False
UID,,VARCHAR(32),WOS:A1945UA01900010,1.0,19,19,,,WOS:A1945UA00700007,3360,0.0013255065328536262,11.544691524014933,False,28,0.6362431357697406,0.01,False
ic_related__oases__oas,,VARCHAR(8),@type,0.3845862526036736,5,5,,,@type,2,0.6154137473963265,0.5301986463748543,False,7,0.0003787161522438932,0.01,False
ic_related__oases__oas__@type,,VARCHAR(32),bronze,0.6154137473963265,4,15,,,green_published,7,0.3953796629426245,1.31911450929467,False,22,0.0013255065328536262,0.01,False
