,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
index,,TINYINT UNSIGNED,0,1.0,0,11,0.9049873498265335,0.9418780545118265,,12,0.3875876800945354,1.767163277813316,False,254,9.089945005832715e-05,0.01,False
UID,,VARCHAR(32),WOS:000203024800008,1.0,19,19,,,WOS:A1945UQ27200014,51166,9.089945005832715e-05,15.586149923285872,False,28,0.3875801051403639,0.01,False
cluster_related__identifiers__identifier__@type,,VARCHAR(32),accession_no,0.9625494265759692,3,12,,,accession_no,7,0.36886239338252,1.8498445729694273,False,18,5.302467920069083e-05,0.01,False
cluster_related__identifiers__identifier__@value,,TEXT,V44TK,0.9625494265759692,5,63,,,0755-4982,31765,0.037450573424030784,11.771310613505278,False,94,0.24061841925856348,0.01,False
cluster_related__identifiers__identifier,,VARCHAR(16),@type,0.037450573424030784,5,6,,,@type,3,0.9625494265759692,0.2149239116777138,False,9,2.2724862514581788e-05,0.01,False
